model_name,dataset,time_features,continuous_time,time_diffs,HR@1,MNAP@1,NDCG@1,HR@5,MNAP@5,NDCG@5,HR@10,MNAP@10,NDCG@10,HR@15,MNAP@15,NDCG@15,HR@20,MNAP@20,NDCG@20
SASRec, 'Grocery_and_Gourmet_Food',,0.0,0.0,0.0567,0.0567,0.0567,0.2084,0.2389,0.1321,0.3427,0.4234,0.1752,0.4375,0.5792,0.2003,0.4979,0.7117,0.2145
SASRec, 'Grocery_and_Gourmet_Food', 'day' ,0.0,0.0,0.0562,0.0562,0.0562,0.2082,0.2384,0.1318,0.3435,0.4231,0.1752,0.4355,0.5783,0.1996,0.4974,0.7107,0.2142
SASRec, 'Grocery_and_Gourmet_Food', 'month' ,0.0,0.0,0.0537,0.0537,0.0537,0.2061,0.2345,0.1299,0.3466,0.4203,0.1751,0.4365,0.5763,0.1988,0.4966,0.7083,0.2130
SASRec, 'Grocery_and_Gourmet_Food', 'weekday' ,0.0,0.0,0.0566,0.0566,0.0566,0.2054,0.2385,0.1310,0.3355,0.4199,0.1728,0.4214,0.5705,0.1955,0.4824,0.6988,0.2100
SASRec, 'Grocery_and_Gourmet_Food'," 'day,month' ",0.0,0.0,0.0560,0.0560,0.0560,0.2084,0.2386,0.1319,0.3413,0.4231,0.1746,0.4317,0.5779,0.1986,0.4933,0.7088,0.2132
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday' ",0.0,0.0,0.0537,0.0537,0.0537,0.2065,0.2340,0.1299,0.3458,0.4195,0.1747,0.4357,0.5752,0.1985,0.4957,0.7071,0.2127
SASRec, 'Grocery_and_Gourmet_Food'," 'weekday,month' ",0.0,0.0,0.0563,0.0563,0.0563,0.2086,0.2391,0.1321,0.3439,0.4243,0.1756,0.4351,0.5797,0.1998,0.4970,0.7119,0.2144
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday,month' ",0.0,0.0,0.0563,0.0563,0.0563,0.2090,0.2388,0.1321,0.3434,0.4241,0.1754,0.4355,0.5793,0.1997,0.4979,0.7118,0.2145
SASRec, 'Grocery_and_Gourmet_Food',, 1 ,0.0,0.0557,0.0557,0.0557,0.2079,0.2375,0.1314,0.3421,0.4222,0.1746,0.4315,0.5766,0.1983,0.4926,0.7073,0.2127
SASRec, 'Grocery_and_Gourmet_Food', 'day' , 1 ,0.0,0.0567,0.0567,0.0567,0.2093,0.2389,0.1323,0.3429,0.4240,0.1753,0.4354,0.5794,0.1998,0.4982,0.7118,0.2146
SASRec, 'Grocery_and_Gourmet_Food', 'month' , 1 ,0.0,0.0563,0.0563,0.0563,0.2086,0.2384,0.1319,0.3423,0.4233,0.1749,0.4316,0.5780,0.1986,0.4921,0.7087,0.2129
SASRec, 'Grocery_and_Gourmet_Food', 'weekday' , 1 ,0.0,0.0571,0.0571,0.0571,0.2094,0.2403,0.1327,0.3426,0.4251,0.1755,0.4353,0.5800,0.2001,0.4955,0.7119,0.2143
SASRec, 'Grocery_and_Gourmet_Food'," 'day,month' ", 1 ,0.0,0.0570,0.0570,0.0570,0.2058,0.2375,0.1309,0.3451,0.4235,0.1758,0.4338,0.5787,0.1993,0.4952,0.7104,0.2138
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday' ", 1 ,0.0,0.0562,0.0562,0.0562,0.2078,0.2382,0.1316,0.3420,0.4236,0.1749,0.4295,0.5774,0.1980,0.4912,0.7079,0.2126
SASRec, 'Grocery_and_Gourmet_Food'," 'weekday,month' ", 1 ,0.0,0.0565,0.0565,0.0565,0.2093,0.2402,0.1326,0.3415,0.4249,0.1751,0.4353,0.5799,0.2000,0.4972,0.7121,0.2146
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday,month' ", 1 ,0.0,0.0557,0.0557,0.0557,0.2079,0.2376,0.1314,0.3429,0.4227,0.1749,0.4314,0.5772,0.1983,0.4918,0.7077,0.2126
SASRec, 'Grocery_and_Gourmet_Food',,0, 1 ,0.0570,0.0570,0.0570,0.2092,0.2397,0.1325,0.3421,0.4247,0.1753,0.4366,0.5802,0.2003,0.4979,0.7127,0.2148
SASRec, 'Grocery_and_Gourmet_Food', 'day' ,0, 1 ,0.0567,0.0567,0.0567,0.2095,0.2393,0.1325,0.3428,0.4245,0.1754,0.4361,0.5801,0.2001,0.4985,0.7126,0.2148
SASRec, 'Grocery_and_Gourmet_Food', 'month' ,0, 1 ,0.0553,0.0553,0.0553,0.2091,0.2381,0.1319,0.3415,0.4232,0.1745,0.4349,0.5779,0.1992,0.4975,0.7104,0.2141
SASRec, 'Grocery_and_Gourmet_Food', 'weekday' ,0, 1 ,0.0571,0.0571,0.0571,0.2099,0.2408,0.1330,0.3428,0.4258,0.1758,0.4354,0.5809,0.2002,0.4964,0.7130,0.2147
SASRec, 'Grocery_and_Gourmet_Food'," 'day,month' ",0, 1 ,0.0561,0.0561,0.0561,0.2069,0.2383,0.1313,0.3355,0.4205,0.1727,0.4231,0.5721,0.1959,0.4847,0.7009,0.2105
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday' ",0, 1 ,0.0561,0.0561,0.0561,0.2077,0.2378,0.1315,0.3419,0.4233,0.1748,0.4299,0.5773,0.1981,0.4921,0.7080,0.2128
SASRec, 'Grocery_and_Gourmet_Food'," 'weekday,month' ",0, 1 ,0.0566,0.0566,0.0566,0.2096,0.2405,0.1328,0.3419,0.4254,0.1753,0.4358,0.5806,0.2002,0.4979,0.7129,0.2149
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday,month' ",0, 1 ,0.0557,0.0557,0.0557,0.2083,0.2377,0.1316,0.3430,0.4227,0.1749,0.4317,0.5773,0.1984,0.4919,0.7080,0.2126
SASRec, 'Grocery_and_Gourmet_Food',, 1 , 1 ,0.0563,0.0563,0.0563,0.2081,0.2387,0.1318,0.3416,0.4234,0.1748,0.4312,0.5778,0.1986,0.4922,0.7086,0.2130
SASRec, 'Grocery_and_Gourmet_Food', 'day' , 1 , 1 ,0.0567,0.0567,0.0567,0.2073,0.2381,0.1315,0.3432,0.4233,0.1752,0.4301,0.5771,0.1982,0.4913,0.7077,0.2127
SASRec, 'Grocery_and_Gourmet_Food', 'month' , 1 , 1 ,0.0540,0.0540,0.0540,0.2074,0.2349,0.1305,0.3460,0.4209,0.1750,0.4359,0.5768,0.1989,0.4964,0.7086,0.2131
SASRec, 'Grocery_and_Gourmet_Food', 'weekday' , 1 , 1 ,0.0564,0.0564,0.0564,0.2086,0.2393,0.1321,0.3425,0.4237,0.1751,0.4340,0.5783,0.1994,0.4964,0.7103,0.2141
SASRec, 'Grocery_and_Gourmet_Food'," 'day,month' ", 1 , 1 ,0.0542,0.0542,0.0542,0.2071,0.2351,0.1304,0.3467,0.4209,0.1753,0.4355,0.5767,0.1988,0.4962,0.7087,0.2131
SASRec, 'Grocery_and_Gourmet_Food'," 'day,weekday' ", 1 , 1 ,0.0569,0.0569,0.0569,0.2094,0.2395,0.1326,0.3423,0.4243,0.1753,0.4351,0.5793,0.1998,0.4970,0.7117,0.2145
